candidate,fold,n_trajectories,balanced_accuracy,macro_f1,min_class_recall,class_mae,quadratic_weighted_kappa,unsafe_early_stop_rate,severe_unsafe_stop_rate,quality_failure_rate,exact_round_accuracy,within_one_round_rate,mean_absolute_round_error,mean_excess_rounds,mean_premature_rounds,mean_rounds_saved,compute_reduction_fraction,mean_qv_loss_vs_r5,mean_busco_loss_vs_r5,selected_r1_fraction,selected_r2_fraction,selected_r3_fraction,selected_r4_fraction,selected_r5_fraction
light_fasta_prospective,1,24,0.3333333333333333,0.23423423423423426,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5416666666666666,0.625,1.0416666666666667,1.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_fasta_prospective,2,28,0.3888888888888889,0.36190476190476195,0.0,0.4642857142857143,0.045454545454545414,0.0,0.0,0.0,0.6785714285714286,0.7142857142857143,0.75,0.75,0.0,0.03571428571428571,0.007142857142857143,-0.00010508271631458146,0.0,0.0,0.0,0.0,0.03571428571428571,0.9642857142857143
light_fasta_prospective,3,24,0.3333333333333333,0.19607843137254902,0.0,0.875,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,1.4166666666666667,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
light_fasta_prospective,4,24,0.36111111111111116,0.2420634920634921,0.0,0.9166666666666666,0.10526315789473684,0.5,0.4583333333333333,0.125,0.2916666666666667,0.375,1.875,0.4166666666666667,1.4583333333333333,2.0,0.4,-0.004545499813855584,-0.04166666666666785,0.5,0.0,0.0,0.0,0.5
light_fasta_prospective,5,27,0.3148148148148148,0.2698412698412698,0.0,0.48148148148148145,0.20465116279069784,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.6296296296296297,0.7407407407407407,0.8148148148148148,0.7407407407407407,0.07407407407407407,0.18518518518518517,0.037037037037037035,9.688754976049868e-05,0.22592592592592597,0.0,0.0,0.07407407407407407,0.037037037037037035,0.8888888888888888
r1_core_only,1,24,0.3333333333333333,0.23423423423423426,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5416666666666666,0.625,1.0416666666666667,1.0416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r1_core_only,2,28,0.3333333333333333,0.2608695652173913,0.0,0.5,0.0,0.0,0.0,0.0,0.6428571428571429,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r1_core_only,3,24,0.3333333333333333,0.19607843137254902,0.0,0.875,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,1.4166666666666667,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
r1_core_only,4,24,0.3055555555555555,0.2222222222222222,0.0,0.6666666666666666,0.04347826086956519,0.125,0.125,0.0,0.4583333333333333,0.5416666666666666,1.2083333333333333,0.8333333333333334,0.375,0.5,0.1,-0.0012219584549656808,0.037500000000000235,0.125,0.0,0.0,0.0,0.875
r1_core_only,5,27,0.3333333333333333,0.26666666666666666,0.0,0.5185185185185185,0.0,0.0,0.0,0.0,0.6666666666666666,0.7407407407407407,0.8518518518518519,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
